,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,1796027.70291,525191.98071,160597.10318,307893.17125,416720.89793,7715.714300000001
2020-02,1626368.19373,442615.74000999995,103092.177,248045.78157999995,579696.64925,8589.055229999998
2020-03,1795217.1156200003,514913.8890699999,62297.029029999976,325138.18383999995,391618.7930999999,8879.84739
2020-04,1820548.2192099998,570630.4691000001,24842.641710000054,-1420.5583099998767,382251.3017200001,9019.103599999995
2020-05,1841935.5216899998,620847.2726500002,88279.00947999995,339760.40562,379187.72947000014,10275.001600000003
2020-06,1690009.4702499993,702910.69038,70362.18018000002,222935.99684000015,398514.6779199997,10012.015030000002
2020-07,1775339.9720800016,841271.54642,67871.56519999995,268419.9302099997,395894.10829999996,8918.16304
2020-08,1747292.9263999984,869527.3006399991,90947.66521999997,195615.63245000015,407526.9154500002,8942.90006
2020-09,1754851.8706100006,580828.0646000011,82951.4401,244263.23347999994,414942.91246999986,8617.881949999995
2020-10,1851861.4505400024,729393.6331699993,198767.81942000007,258822.45741999988,427535.2611400001,9135.017040000006
2020-11,1889291.4712099992,784406.2779200003,213356.8322500001,283621.8595700003,425454.20913999993,9230.74394
2020-12,2012897.5757199973,803466.9412000002,198880.7371400001,516508.17342999997,439078.64588000067,9982.385930000004
2021-01,2087437.06578,1018479.60696,254386.39933,392025.31141,476813.29321,9151.134709999998
2021-02,2009800.2660199997,873302.5222700001,231336.57149,377503.55225999997,450150.60253,11398.578710000002
2021-03,2248068.74419,1006433.46123,317243.4795000001,419918.26898000005,488615.5332999999,11716.941610000002
2021-04,2265226.141,988696.5084199999,340222.0362,407370.63302000007,464241.2466200001,10643.720239999995
2021-05,2355420.2625200003,1074504.77641,290599.51969,460061.2648499999,494794.95800000033,11196.520690000005
2021-06,2363908.5750600006,1036017.3271900006,439890.31853000005,432628.6784000001,500872.2534699999,10766.993259999996
2021-07,2488808.40701,1195093.3788099997,406867.47886000015,522540.58904,530409.5368999997,11097.571089999998
2021-08,2572778.4879099987,1002175.8862999994,442006.05747999996,444314.8148699999,558556.96814,10210.14506000001
2021-09,2610760.5035500005,1073519.770180001,440164.01592999976,429219.01372000016,543141.12371,9879.34281999999
2021-10,2656433.8712100014,1060617.620699998,449684.3360299999,463892.2748100003,564841.5320199998,9764.661959999998
2021-11,2767038.5202699974,1100440.1953800023,512995.7101400001,452798.1542999996,609980.166410001,8679.743200000012
2021-12,2891237.7324899994,1935235.5249099992,455544.1615899997,457243.3708999995,650169.6579099996,9228.27975999999
2022-01,2945531.66552,1205000.3097700002,477772.05377,452238.88652,669318.96368,8603.062100000001
2022-02,2756142.8363,987267.9324400001,406838.34204,490113.94217999995,643983.5330699999,7582.8495699999985
2022-03,1569523.3255599998,1006706.5040799999,471661.39136999997,464603.0681700001,673454.3008700002,5867.640290000001
2022-04,2499916.706080001,1015921.418589999,417960.7689400001,472537.05655999994,666102.61164,5513.491569999998
2022-05,2675007.19156,1102956.1581700016,540379.17291,536613.47031,681686.1376100001,5671.206869999998
2022-06,2914387.29108,1142558.5782299992,376938.8287800001,430874.15414000023,546072.14023,-4528.389179999998
2022-07,3328922.3140700012,1245456.0362400003,330232.3864199999,380537.53118999954,536079.7869899995,-1766.9680100000005
2022-08,3457530.5820999965,981851.0030100001,197792.20698999986,313165.3841900001,561362.4980100002,-2674.8604699999996
2022-09,4102455.5338400044,1650634.2945300005,76514.11170000024,225071.20834999997,515732.95125999954,-2273.0629200000003
2022-10,4209435.018039998,1437302.7310999986,247490.54919999978,316077.56495,463567.8166300012,-3094.28097
2022-11,4538407.957200002,1499309.8513900004,192475.51762000006,353199.4544800003,468433.2299599992,-3065.769019999998
2022-12,4920156.115369998,1609413.5385999996,349164.11153999995,559212.0350700002,627057.4907900002,-3029.9219200000007
2023-01,4886070.54623,1677383.5323599998,135094.54690000002,380563.73997,471448.8713,-3399.18332
2023-02,4230493.181759999,1416596.8898200004,113524.93664999999,304491.60750000004,439859.00982000004,-2748.97983
2023-03,4649043.960350001,1551542.2653699997,270613.34417000005,380362.73040999996,496315.40131999995,-2614.2071300000007
2023-04,4580245.70981,1452611.7184800003,331891.20280999993,398792.1461700001,468937.79226,-2717.4080299999987
2023-05,4746325.92382,1413748.4683500007,391698.4065299999,586436.64848,389206.99796000007,-3196.5301600000003
2023-06,4766031.6796,1194686.5663199974,353953.02578,609338.8679199999,252106.51849000016,-2931.0003799999977
2023-07,5020728.38961,1695059.291580001,499612.84930999996,648468.9910599999,483709.26044999994,214.287049999999
2023-08,5100763.145169996,1704770.20366,409643.65586000006,717452.24028,463667.85146000003,1322.1231200000002
2023-09,5196868.083640002,1693593.5583800003,493665.79469000036,715491.1874299999,379519.4376299996,1928.173319999998
2023-10,5216134.767900005,1487034.7186500002,494215.0733699999,605760.9007200003,594387.1968400003,2407.997510000001
2023-11,5413524.438979998,1651933.5350099988,523887.5786199998,624644.64867,538079.35286,9007.32506
2023-12,5814738.805670001,1846268.8918000013,650675.9240300003,707862.1267399993,497291.21351000015,2962.84969
2024-01,5603653.98963,1743648.78826,539173.1099500001,745450.3501,603170.4661999999,2617.59916
2024-02,5015339.16352,1689563.05372,493741.31976999994,718777.4001999999,544646.0146700002,1962.24379
2024-03,5263303.92939,1877542.7013400001,584148.3790900001,775053.5811300003,540632.2734999999,2100.73556
2024-04,5270389.39109,1745408.22779,606386.3495099999,779313.0572599997,582175.9416400001,1964.5685899999999
2024-05,5445446.5741799995,1949862.1369400006,656814.0675900001,832038.1448400002,618742.3718400002,2148.2443000000003
