,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,1071900.00711,1169615.05232,307037.44629,319515.27294,707419.54157,17221.135270000002
2020-02,1131688.2176600003,530045.3399400001,105707.78875,252829.12709000002,801860.1429499999,5313.434279999998
2020-03,1854421.5863699997,1190236.94448,470367.30773000006,391675.91111999995,1171204.92536,8030.259959999999
2020-04,1770596.2030499997,841778.5175699997,476777.30267,80095.42579000001,587391.6291100001,12157.269199999999
2020-05,1420148.977380001,727126.2716200002,645630.2340299999,437853.7026300002,758250.0312899998,6795.955030000005
2020-06,9380010.813000001,864576.9779200004,672860.2750200003,361089.5283399997,852356.8878600001,15721.07196999999
2020-07,1431919.8468899988,1395168.8528999994,205091.1680599996,312425.4038900004,774868.1432799995,5487.581080000004
2020-08,1503945.9225500003,994119.4849800002,157012.93302999996,459566.9165699999,725152.4165500011,15473.419439999998
2020-09,1425880.036559999,1020911.0056499988,351084.56164000044,410089.1557199997,926412.0816499991,16987.04789
2020-10,1992920.8561400026,1352147.848030001,976375.9776599999,391218.11000000034,773856.1239999998,17054.014649999997
2020-11,1491181.6995400004,1215684.8766600005,1385243.1356699998,424677.4922799999,827276.612040001,6325.48199
2020-12,4691803.3360899985,3098037.0741999988,1763765.0618700003,938238.7144899997,810330.4418399986,20740.245240000004
2021-01,1306460.8758899998,845107.96781,233749.2623,477120.61437,717058.8989200001,16532.33208
2021-02,1383748.1547400001,495756.9065200001,115261.72762000002,474025.34484999994,619875.9586999998,15847.371480000002
2021-03,1255391.3944800003,1122050.30431,388313.70453000005,497714.69171000004,752673.75869,10881.508609999997
2021-04,1722969.7682799995,1299467.8926,1682334.6613899998,486339.6562099999,790831.4506300003,15018.853920000001
2021-05,1664927.28952,1078966.6406299998,75155.02939000027,511162.93949,725852.5494499998,20881.122150000003
2021-06,1589455.1779500004,1194200.4134499999,198130.42781999987,290707.6469999999,766684.41237,6218.475739999994
2021-07,1692332.0556899998,1542597.24247,322963.85615999997,278564.38510000054,652393.3995399997,19607.817280000003
2021-08,1480009.99089,1143506.7043400006,350432.4328999999,264646.73675999977,610770.5879800003,14299.728629999998
2021-09,1309704.2023399994,808711.0504299998,359988.68151,138003.84407999972,893228.8275899999,54.26234000000113
2021-10,1767890.5207900014,920765.8071500007,39038.31749000028,-343944.00968999974,718218.4331399994,-26685.78937
2021-11,1786933.972000001,1396233.6972399987,304549.98101999983,-269917.84681,950425.2244000006,11830.455709999995
2021-12,-1089389.6757500023,2666779.68956,197526.33731000032,419691.66738,1143663.5290099997,18278.264240000004
2022-01,1393628.4817,1164379.96111,54848.16443,548978.52918,812872.75271,12720.35161
2022-02,2220159.04504,1884657.4408800001,500627.09726000007,702670.99479,1282449.0405299999,10827.73699
2022-03,3532178.1600099993,2419894.90788,2323141.82181,2104798.90079,1094477.98815,13776.26037
2022-04,4011860.491650001,3265175.8828499997,272336.35831000004,1468838.343200001,1227737.4681499992,4633.301610000002
2022-05,1590771.592079999,2384840.5099800006,884412.84338,334300.47013999894,1609869.8734100005,20448.85671
2022-06,5702012.195750002,1585173.4028700013,2705697.7244499996,1918096.1129900003,3501052.06025,17537.60689999999
2022-07,2906835.8045299985,4037115.682889998,1665443.0944499997,974450.4965199996,2896994.5564600006,12769.678820000001
2022-08,9536014.73065,1664221.141590001,1202184.0689500012,381996.6250900002,2171387.7185999993,15656.697769999999
2022-09,2319805.0903100036,2293381.317400001,3692012.00289,528428.489529999,263580.86140000075,24582.052519999997
2022-10,2852112.005079996,2018851.0244299993,571714.6342599988,952912.2032800019,1615873.5385999996,7964.608559999993
2022-11,1899633.8292900026,1337067.2049399987,188405.7728199996,712338.5017200001,1767452.7624400016,8479.201680000027
2022-12,596274.7072199956,2783584.590160001,770912.9391200002,889909.3340499997,2577958.8200499974,62253.87698
2023-01,2019028.97953,779220.20952,-30837.88463,395892.73656,520200.67285,4826.295370000001
2023-02,1654060.5506499999,793080.4778100001,214765.05112999998,305723.08598999993,672278.19915,-51154.40806
2023-03,2009519.5685200002,1282024.33426,249473.71029000002,-290953.73097999993,466106.1957200002,10412.0766
2023-04,1878450.4293600004,1120591.1386699998,60520.95138000004,293860.30332999997,641928.91396,9026.74912
2023-05,2628387.549379999,966607.4359499994,122906.47968999989,350751.4806400002,569696.98771,7908.540130000001
2023-06,1731285.8796500005,778484.6307000015,119771.94808000012,202393.02616999974,-249622.65255000023,8505.074279999999
2023-07,1790353.4379699994,1483867.7170000002,17755.020319999894,509443.24591000006,506031.89206,32826.1577
2023-08,1922224.9212800004,1224186.2905899975,241916.51167000004,1138276.8405100005,691998.6896100002,-1646.7733000000007
2023-09,1667424.2607600018,931395.9720800016,229758.17052000004,254283.85963999946,642715.0302399998,9528.676500000001
2023-10,2182268.2991899997,1371130.4167199992,375423.4146299998,364170.52556,822521.4428900005,2878.562950000003
2023-11,2129770.537919998,1167517.0337200016,211988.6941300002,181725.92336000036,1421043.2045599995,-18751.377420000004
2023-12,7259498.575290002,2247478.5796499997,380237.21011999995,846802.4171400005,2557143.2864499995,11214.83139
2024-01,2326236.94068,783487.9083,-100606.33773,43542.264,446418.4706600001,7977.640319999999
2024-02,3698981.3722899994,1333098.90914,-53139.56285000002,372876.18886,830915.40579,4859.661870000002
2024-03,673609.3001200007,1564462.6953600002,-1701.8429699999979,457795.18942,93583.65322999982,7915.914009999999
2024-04,2328329.26917,1100616.3619399997,333383.2829,286463.6310299998,593410.08323,8549.965080000002
2024-05,1834459.9963799994,1287913.01052,-342560.9704,561487.8434600001,659654.72868,8150.562799999996
