,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2020/01/01,8203238.354790001,244259.26689,1364443.6477,1140583.49236,1103287.6619000002,2092995.52669,4247285.652249999,3231086.67535,956290.31979,3608932.30739,1050653.66968,11391586.67533,458849.95081,4249216.53843,1544329.0978799998,321051.26496,301212.85855,1081680.63572,11047466.4611,553476.7579,3075877.8645,4121863.76005,552058120.19656,31456731.65644,2868924.9654300003,1304074.06138,37243986.69776,1407839.60513,1682666.44318,1746361.7192000002,2748887.4933,595583.45402,1892599.696,63215304.791310005,1269804.70751,7879807.35813,3775683.00146,13838802.20264,19867892.6163,954765.73617,1230834.46366,5662695.19464,515248.21826000005,314674544.63779,49297258.14787,3052874.13236,28155627.938270003,728013.21539,2632749.69513,5804986.49923,24321817.12118,2098468.44656,95158659.83119,1110606.54312,1980316.92009,87904918.81477,562809.9508499999,19965214.69026,242689.14643,1224520.80124,202212327.76908,127452510.65572,55546454.7834,1081987.4521700002,20103053.96487
2020/02/01,8779968.31421,314127.34159,915449.31785,1377597.83887,1088293.51278,1912228.66948,4277544.59356,3365671.3970400007,923877.95265,3766412.50744,1150326.44176,12426417.12875,441884.7386,4202336.91624,1576585.71949,322287.13042,307293.76852,965440.71448,12278154.15683,607727.92405,3094765.51782,3573019.60802,555361374.54915,32702087.42029,2832582.08087,1238732.94951,40391678.25660001,1143522.84271,1631117.72488,2175427.90513,2991427.13697,590023.91519,1591833.76927,64726408.54092,1022020.99307,8280462.506519999,3689745.70262,13068016.52444,19500274.16212,1021182.63061,1185502.18445,5839389.26118,522423.4342100001,334445381.63472,50636047.78637,3241215.84026,28936676.46491,796173.03097,2639112.40538,5818494.85809,24556079.92014,2175826.52646,89999648.10434,1269775.93881,2054909.42658,89918224.04138,572644.01882,19800474.60751,292417.42664,1191446.93331,207603127.07541,138423098.64013,56499217.0449,933065.36365,20751681.99397
2020/03/01,8947650.15371,299154.98370999994,966002.34272,1222564.32831,1170875.3351300005,1911293.48681,4287360.26011,3392043.34518,837889.57816,3759085.77588,1115787.86197,12494039.79473,438953.24975,4420952.9347,1606290.5826800002,340728.69425,308746.95537000004,908136.86917,11901648.72785,558786.9052500001,2936565.66805,4147242.97295,560700425.18351,33449865.269460004,3077044.9000100004,1238011.19448,42273586.48001,970093.51131,1632518.82192,2201068.4032500004,2733919.63067,605046.68616,1479214.3932200002,66130007.11611,1051093.91666,8553038.073210001,3633869.03117,11983600.455279998,19570813.13438,990583.00925,1444511.95828,6138004.513370001,467585.11391,313457973.19079,53004917.63356001,3232472.98451,28511949.81811,843206.99613,2609930.44997,5764046.79303,24846672.56617,2169949.91651,92275102.37746,1290917.49091,1730913.82113,89810827.5767,574069.99345,19592936.366510004,340527.48693,1106730.9225700002,205152041.75574,148285071.24385,57139544.51899,928443.51417,22015505.59819
2020/04/01,8648673.338860001,259423.05262,1504498.37817,1194218.2578299998,1092517.1646899998,1912616.83257,4288393.74669,3458206.88914,1202832.26998,3939913.78433,1477762.7625,13188130.81444,410952.74533,5113575.5871,1620344.46596,351918.05114,299330.53319,956821.60798,12366704.1787,518308.26508,2518762.4777,3737759.96334,572099553.99411,31728819.18193,3039397.96951,1312681.08347,45247765.36816,1004082.85148,1620414.85255,2344391.10307,3230925.16763,655182.94218,1710349.44336,68489365.68944001,964064.02364,8292442.16216,5040736.62493,12577893.1498,20992289.450060003,1074643.27056,1347271.67559,6077793.32583,489671.76555,314429347.87083,54215401.43382,3371176.31706,28878805.36364,751637.9845599999,2628385.50623,5989054.0258,26215528.13922,2170134.86406,98662062.16263,1022921.57183,1656948.78535,99273835.81139,576349.61871,20787506.56705,348856.12776,1040633.21264,217523691.07313,140626317.17256,61851226.8108,877550.09051,23330681.34475
2020/05/01,8477947.462129999,281683.1689,1579878.14281,1432088.8662000005,1098352.33881,1839076.08251,4312700.77078,3379568.86917,1126766.82912,3670544.81449,1378123.75569,13106121.08415,481695.96233000007,4868207.87127,1600869.57989,355670.52166,298935.33419,945574.592,12253705.18999,494997.73964,2816070.28183,3536568.87949,580817281.71742,24066261.10586,3219120.69959,1293607.31258,44310008.35676,915957.06477,1653492.02299,2117530.81283,3019993.64301,627158.81244,1623093.72662,68044261.31123,1085919.63537,8086710.46575,4916486.94455,11434617.00594,19980153.738,1035704.5268,1332349.6810700002,6387875.350849999,471906.24328,310394753.83647,51414315.18471,3265161.79512,27498320.04441,797495.4331,2777255.19816,5690061.34638,25646227.89928,2236511.91915,97134964.84278,1008354.96409,1642581.86149,93485715.62047,586139.93734,20631237.86721,313167.00114,1174162.62131,216163647.50566003,148588647.82445,61203478.16245,875961.06289,24090396.33083
2020/06/01,8678346.041860001,309624.87651,1492603.84413,1490607.07177,1101242.78318,2085416.3817,4375511.280540001,3427419.96987,1135103.37439,3983277.27388,2058269.04001,12753710.3727,437095.23316,5006585.03681,1629741.78725,347898.39409,306634.18411,949749.85086,12402881.84134,497083.65616,3108510.67103,3920442.99474,590589958.4092,25441357.04177,3375138.5976499994,1266552.9952699998,44032465.00717,945802.77858,1676807.4832499998,2277600.65337,4171503.18971,580088.71044,1799431.61886,67569016.42859,1120730.59369,8235010.865079999,4201559.53626,11915437.64791,20698069.98952,1055325.65628,1235583.05969,7205580.029119999,479104.45019,310783639.17161,52280904.50405001,3227701.06251,27644833.81138,777920.80574,2807619.19167,5740449.34139,25854827.75487,2402539.18548,100896306.84986998,1116679.46874,1862964.71302,94113244.53354,638156.52844,20674726.49982,314996.99482,1081086.78726,220707991.61582,156433838.18212,62158454.76909,874359.59316,24918566.63765
2020/07/01,8964535.233860001,253377.37407,1730154.63811,1499978.58865,1101849.90408,2122849.5420500003,4564455.27186,3635052.46606,1277105.52312,4615716.53421,1817186.59112,12179864.83615,421467.47665,5463439.40861,1709790.64541,355785.81259,295073.96439000004,957899.24802,13201089.77631,477983.64754,3400027.2765299994,3968109.2577,576387664.35504,29162548.24311,3406657.8959000004,1315285.18354,44540175.13486,1030388.86647,1638148.08105,2236585.11759,3186060.33402,571044.3343199999,2154690.35782,68349914.78168999,1591233.40739,8360989.461360001,4131920.70506,11779531.01648,21723818.41174,1081171.01822,1274730.2294,6948845.5284400005,515909.00112,272170777.17387,54070272.94593,3274181.45086,29836894.331710003,762921.99835,2877437.58303,6080862.60106,25868107.487510003,2500479.25088,102345213.57938,1286613.98513,2052621.1074900003,98194375.08623,715141.58193,21231506.07278,340672.04281,1137491.04103,226728764.12284,156672936.18175998,65401554.86207999,904905.54601,25197060.289120004
2020/08/01,9264703.75843,247097.83056,1527323.6485799998,1539825.54286,1108809.58832,2028644.75289,4556377.76085,3916029.38571,1229026.67478,5149745.238519999,1727218.51208,12902327.76091,452427.85086,4853230.74813,1719395.10547,348280.36972,369230.12577,1076063.72439,12849369.266729996,395575.92041,3692596.79321,4227474.22347,585208192.92047,30674938.75298,3406597.10748,1339613.39284,47123095.14486,994830.90702,1775090.0275,2436187.7784,2813442.07094,593187.2358499999,1734906.56612,73989701.69475,1552444.47683,8346042.30504,4340081.17159,13107876.06414,22483629.91908,1199786.00133,1293995.02108,6927143.63373,543821.5370499999,275812938.14492,57052048.49401,3385138.77899,31293968.54542,787014.89276,2991150.15492,6691137.867109999,27374984.04548,2685774.12342,104172421.63068,1248720.49896,2178237.59871,101379457.98792,745914.3167600001,21557883.380730003,411450.29371,1164816.27317,239045390.93567,163125636.54148003,68630637.18428,913879.09502,27230897.89369
2020/09/01,9527431.65087,243168.79249,1309170.6978,1527686.9985399998,1139726.88064,2224491.60561,4487806.71704,4021731.84217,1401314.917,4840016.09257,1872950.56162,12937690.93651,422467.13355,4286328.901629999,1730731.93835,380267.31353,374275.69554,1049195.51567,13317904.45981,388554.49443,5044693.73971,4548463.51252,591896422.06266,31123845.35875,3570492.26821,1367737.32484,47685495.24033,1005455.62147,1783621.92618,2958163.39891,3258738.27639,626293.7869,1599246.78339,75446879.52658999,1653544.5721,8287403.18744,4243499.08033,12988570.2539,22968359.24392,1211329.34009,1297949.55596,7342833.509190001,550272.45579,271680581.9245,59097352.37013,3398489.1275600004,32113890.090480004,787729.452,3024540.58459,6538830.051290001,27274046.7325,2767797.54136,105208008.88538,1437877.11325,2451297.69939,100488850.70116,722825.19373,22579258.45439,421023.67432,1341159.1566799998,235375067.47682,161797772.88436,67146116.37268,803702.72645,28049007.197070003
2020/10/01,9959092.45229,245112.04666,1241898.25861,1710838.87814,1263301.86493,2341722.9644600004,4389039.584319999,4153644.86707,1360914.0753,5379072.580829999,2109233.6224299995,13149825.29343,388535.56048,4481968.15828,1752818.94381,344045.15643,409476.15732,1116791.36692,14077194.92839,385611.89617,4374813.074519999,4286801.69504,600145190.2381,31160733.30547,3377233.85833,1417399.38574,49521871.28898,937911.30892,1864173.2842,3138902.27004,2792358.3346800003,622625.54305,1692469.9982,80499496.28237,1954296.818,8057465.16762,4416179.33538,14672126.12891,23966824.48816,1198225.45953,1524672.60438,6959225.587049999,612206.04923,266290179.86523,60731538.26252,3348189.37564,32325196.94719,813855.02838,3049987.0649,6874555.30264,26981699.88532,2887349.70424,109230189.84536,1889775.10418,2497659.16959,101640098.57208,775665.8614,23222848.61612,434368.69309,1253311.79221,226634076.38953,165551760.53872,69464839.65865,796826.5998000001,28890951.94539
2020/11/01,10284910.74064,247064.57481,1136970.5152500002,1604823.58297,1242494.19624,2606643.23093,4395429.73363,4165289.84099,1351209.79498,5412668.737199999,1738555.21604,14749951.93572,420371.03886,4678091.17286,1863065.6238,345664.50846,357371.06841,1107026.91452,14615132.53301,462568.8078,4708002.98653,4628946.441389999,572448056.7411201,28498101.00243,3313199.1628600005,1402213.51335,50919269.38648,1037858.8742299998,1779866.53741,3173676.6375899995,3579674.24939,635567.3301100001,1680498.09036,81833589.60858001,1941865.80248,8214991.21074,4866689.445030001,13512296.6121,24423756.41994,1145526.44134,1482962.3532800002,6873712.37517,616511.04057,271908630.5189,59959433.68639,3434237.33911,31100974.2079,816122.0547699999,3040263.6400800003,6635206.939800001,27106214.99846,2901289.40057,108513065.83107,1991437.52476,2545602.89276,99492354.45712,793612.7202,24499776.00915,444888.4614,1281270.46744,237277673.88292,167751759.91101003,70480531.71271,799490.28903,31167856.83122
