,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,983367.41251,831053.8837100001,225439.3148,248748.72008,477648.09447,8527.83027
2020-02,2369162.68412,1706213.10111,425516.24622000003,491162.97265999997,977878.1072399999,17966.1884
2020-03,3853542.9701500004,2674597.54198,668484.4567699999,750871.88785,1522323.07569,28533.16067
2020-04,5222144.441430001,3563354.3512299997,849049.90934,999576.68033,2069262.8020900001,39237.68389
2020-05,6560289.14375,4428013.667330001,1043173.1073200001,1256397.5469,2568299.41005,47861.852100000004
2020-06,7817004.24488,5792779.577760001,1254478.62206,1508497.07095,3094740.67546,58322.72526
2020-07,9098963.434519999,6776406.52998,1498957.46254,1813128.54894,3576396.1420400003,69380.35144
2020-08,10717263.94841,7643400.21473,1828056.21083,2080688.21402,4049729.73912,80666.29443
2020-09,12208966.185999999,8693905.32323,2560568.71743,2364746.56925,4579336.49035,92406.01425
2020-10,13804627.24259,9965316.660570001,2742542.68113,2646839.671,5079480.9904000005,104083.26492
2020-11,15246577.23204,11074689.66409,3304395.9015800003,2938130.17485,5656827.013920001,116545.78372
2020-12,18597412.23891,12776305.98689,3045145.40662,3422922.59128,6303101.09107,136025.72449
2021-01,1158649.52614,829661.1557400001,199766.35109,275865.47319,480467.96606,12477.90443
2021-02,2543364.84157,1850013.17862,415975.09474,546797.60982,1014205.1695699999,24427.03203
2021-03,4107785.1427200004,2867120.7775399997,623575.10668,846999.93705,1543695.8781599998,38568.4801
2021-04,5718743.145520001,3866764.04543,845300.26879,1127079.96967,2087508.1647299998,51576.2464
2021-05,7312011.1659,4880127.2030299995,1048899.80322,1390797.18832,2613593.98983,63855.83164
2021-06,8829567.16957,6405690.7571,1273041.20251,1671466.2329600002,3088603.54582,78525.53993
2021-07,10362581.16884,7369726.9694300005,1504051.33852,1945821.20822,3637170.27551,91449.32
2021-08,11742676.08653,8252075.434640001,1710977.7356699998,2205777.9870999996,4175327.56977,103969.26544
2021-09,13292245.64765,9168211.447989998,1948942.4075500001,2498175.3206499997,4867961.88333,116527.89027999999
2021-10,15009802.80845,10161011.07204,2164537.25734,2777862.88718,5466454.141410001,128811.96938
2021-11,16725729.05859,11153256.061509999,2399626.3758,3075284.53204,6125994.45156,140190.76828
2021-12,21569398.205649998,12432280.980719998,2784818.84675,3632876.49045,7177790.71571,160978.39562
2022-01,1289728.2238,865595.98764,211329.85819,303744.97487000003,600001.26712,11170.032640000001
2022-02,3021568.65002,1825756.26056,662764.39594,990211.11369,1290810.9254599998,21608.61668
2022-03,4970589.22412,4051699.7590699997,815012.86566,1421914.0929800002,2004406.63128,35132.111600000004
2022-04,6870658.84028,5090840.514950001,1009948.23027,1702644.02692,2498734.19387,44715.78195
2022-05,8318603.041680001,6129255.369229999,1193425.87791,2040196.8425,3085215.23706,54415.28699
2022-06,10520800.83358,7289136.85953,1384770.6650699999,2352643.66229,3581776.8247499997,65121.391579999996
2022-07,11602852.77624,8833106.801690001,1593238.1787899998,2679710.19399,4068542.40187,75856.54464
2022-08,13206753.15092,9918068.36575,1836009.7581,2980750.74596,4664507.260960001,85260.78504999999
2022-09,15077453.176110001,11004746.56114,2307003.78473,3293755.19744,5524209.64911,93808.95294
2022-10,17048434.34874,12361811.518410001,2526364.84507,3603109.2217599996,6191434.90477,102656.91438
2022-11,19016882.76532,13471616.28235,2747596.11346,3926810.45001,6780505.948039999,112202.01265
2022-12,22233786.47069,15366661.63693,3086047.41174,4293802.66653,8143431.92765,120711.7877
2023-01,1366921.09596,913808.18699,195008.00057,398936.27947999997,530877.00592,7833.16025
2023-02,2968902.3538100002,2057610.3604300001,524666.08373,746264.34962,1182340.50841,16293.487379999999
2023-03,4969906.817989999,3513217.3972199997,913582.54586,1133989.29005,1828660.64845,25016.975599999998
2023-04,7042535.03804,4896561.55362,1168557.55324,1490905.06924,2450436.08674,33843.45409
2023-05,8868843.08363,6066305.28092,1394259.3739,1853434.56414,3207837.06098,42163.89043
2023-06,11195781.76946,7272957.50541,1661636.2894,2218518.91622,3544337.4743,50490.83095
2023-07,13018842.88823,8474092.49131,1939599.97081,2567719.2213,4111895.5287999995,83254.49861
2023-08,15005528.656730002,9664455.88834,2163785.6617799997,2918521.40332,4634914.126259999,91760.83363
2023-09,17126554.93726,10929285.86,2525868.33428,3270069.88464,5024784.08357,100585.96947
2023-10,18999258.43237,12247223.71333,2831338.21296,3636820.33184,5535198.2751899995,108761.61911
2023-11,21010655.22835,13614454.88435,3119461.1999,4012797.47614,6099635.597829999,117232.98687000001
2023-12,24372509.59046,15595592.84588,3556202.50307,4466087.4041,6777481.3444,128012.06049
2024-01,1759845.3178899998,1376247.2075999998,255317.27679,376346.142,472173.01543,7984.256539999999
2024-02,3605829.4928099997,2929687.60912,503118.39745,784804.88184,997546.49013,16463.67771
2024-03,5595857.5423,4360866.331139999,810120.02233,1182231.25028,1537495.8815600001,24579.83196
2024-04,7940737.94613,5857660.91967,1083417.0798099998,1592307.27554,2171650.3381600003,33155.91433
2024-05,9846373.753080001,7294581.0505,1354936.4042800001,1995690.18637,2765526.00957,41295.50801
