,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,1796027.70291,525191.98071,160597.10318,307893.17125,416720.89793,7715.714300000001
2020-02,3422395.89664,967807.72072,263689.28018,555938.95283,996417.54718,16304.769530000001
2020-03,5217613.01226,1482721.60979,325986.30921,881077.1366699999,1388036.3402800001,25184.61692
2020-04,7038161.23147,2053352.07889,350828.95092000003,879656.57836,1770287.642,34203.720519999995
2020-05,8880096.75316,2674199.35154,439107.96040000004,1219416.98398,2149475.37147,44478.72212
2020-06,10570106.223410001,3377110.04192,509470.14058,1442352.9808200002,2547990.04939,54490.73715
2020-07,12345446.195489999,4218381.58834,577341.70578,1710772.9110299998,2943884.15769,63408.90019
2020-08,14092739.12189,5087908.888979999,668289.3709999999,1906388.54348,3351411.07314,72351.80025
2020-09,15847590.9925,5668736.9535799995,751240.8110999999,2150651.77696,3766353.9856100003,80969.6822
2020-10,17699452.443040002,6398130.58675,950008.63052,2409474.23438,4193889.24675,90104.69924
2020-11,19588743.91425,7182536.86467,1163365.46277,2693096.09395,4619343.45589,99335.44318
2020-12,21601641.48997,7986003.80587,1362246.1999100002,3209604.2673799996,5058422.1017700005,109317.82911
2021-01,2087437.06578,1018479.60696,254386.39933,392025.31140999997,476813.29321,9151.134709999998
2021-02,4097237.3318,1891782.12923,485722.97082,769528.86367,926963.89574,20549.71342
2021-03,6345306.07599,2898215.59046,802966.4503200001,1189447.13265,1415579.4290399998,32266.65503
2021-04,8610532.21699,3886912.09888,1143188.48652,1596817.7656699999,1879820.67566,42910.375270000004
2021-05,10965952.47951,4961416.87529,1433788.00621,2056879.03052,2374615.6336600003,54106.89596
2021-06,13329861.054569999,5997434.2024799995,1873678.32474,2489507.70892,2875487.88713,64873.88922
2021-07,15818669.46158,7192527.58129,2280545.8036,3012048.29796,3405897.42403,75971.46031
2021-08,18391447.94949,8194703.46759,2722551.86108,3456363.11283,3964454.39217,86181.60537
2021-09,21002208.45304,9268223.23777,3162715.87701,3885582.1265499997,4507595.51588,96060.94819000001
2021-10,23658642.324249998,10328840.858469998,3612400.21304,4349474.4013600005,5072437.0479,105825.61015000001
2021-11,26425680.84452,11429281.05385,4125395.92318,4802272.55566,5682417.214310001,114505.35334999999
2021-12,29316918.577010002,13364516.57876,4580940.08477,5259515.92656,6332586.87222,123733.63311
2022-01,2945531.66552,1205000.3097700002,477772.05377,452238.88652,669318.96368,8603.062100000001
2022-02,5701674.50182,2192268.2422100003,884610.39581,942352.8287000001,1313302.49675,16185.91167
2022-03,7271197.82738,3198974.74629,1356271.78718,1406955.89687,1986756.79762,22053.55196
2022-04,9771114.53346,4214896.164879999,1774232.55612,1879492.95343,2652859.40926,27567.04353
2022-05,12446121.72502,5317852.323050001,2314611.72903,2416106.42374,3334545.54687,33238.2504
2022-06,15360509.0161,6460410.90128,2691550.55781,2846980.57788,3880617.6870999997,28709.86122
2022-07,18689431.330169998,7705866.93752,3021782.94423,3227518.10907,4416697.47409,26942.893210000002
2022-08,22146961.91227,8687717.94053,3219575.15122,3540683.49326,4978059.9721,24268.03274
2022-09,26249417.446110003,10338352.235059999,3296089.2629199997,3765754.7016100003,5493792.923359999,21994.969820000002
2022-10,30458852.46415,11775654.96616,3543579.81212,4081832.26656,5957360.739990001,18900.688850000002
2022-11,34997260.42135,13274964.81755,3736055.32974,4435031.72104,6425793.96995,15834.91983
2022-12,39917416.53672,14884378.356150001,4085219.44128,4994243.7561099995,7052851.46074,12804.99791
2023-01,4886070.54623,1677383.5323599998,135094.54690000002,380563.73997,471448.8713,-3399.18332
2023-02,9116563.72799,3093980.42218,248619.48355,685055.34747,911307.88112,-6148.16315
2023-03,13765607.68834,4645522.68755,519232.82772000006,1065418.07788,1407623.28244,-8762.370280000001
2023-04,18345853.39815,6098134.40603,851124.03053,1464210.22405,1876561.0747,-11479.77831
2023-05,23092179.32197,7511882.874380001,1242822.4370600001,2050646.87253,2265768.07266,-14676.30847
2023-06,27858211.001569998,8706569.440699998,1596775.46284,2659985.74045,2517874.59115,-17607.308849999998
2023-07,32878939.39118,10401628.73228,2096388.31215,3308454.73151,3001583.8515999997,-17393.0218
2023-08,37979702.53635,12106398.935940001,2506031.96801,4025906.9717900003,3465251.70306,-16070.898679999998
2023-09,43176570.61999,13799992.49432,2999697.7627000003,4741398.15922,3844771.14069,-14142.72536
2023-10,48392705.387889996,15287027.21297,3493912.83607,5347159.05994,4439158.33753,-11734.727850000001
2023-11,53806229.82687,16938960.74798,4017800.41469,5971803.70861,4977237.69039,-2727.40279
2023-12,59620968.63254,18785229.63978,4668476.33872,6679665.835349999,5474528.9039,235.4469
2024-01,5603653.98963,1743648.78826,539173.1099500001,745450.3501,603170.4661999999,2617.59916
2024-02,10618993.15315,3433211.84198,1032914.42972,1464227.7503,1147816.48087,4579.84295
2024-03,15882297.08254,5310754.54332,1617062.80881,2239281.3314300003,1688448.75437,6680.57851
2024-04,21152686.47363,7056162.77111,2223449.15832,3018594.38869,2270624.69601,8645.1471
2024-05,26598133.04781,9006024.90805,2880263.22591,3850632.5335299997,2889367.0678499998,10793.3914
