,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,58599803.6005,20000830.87514,9798502.72837,8668114.34814,8393171.98547,351558.56999000005
2020-02,64706236.85727999,20419525.64319,10246122.81084,8677636.50508,8463894.19228,355445.21737
2020-03,60484406.06422,21146203.05946,4513417.20886,7786489.8406299995,8645279.57498,358098.05153999996
2020-04,68145658.43602,22330310.77981,5537035.26948,7308428.11422,8730789.377519999,357023.95074999996
2020-05,48401318.55038,23164263.43322,6846808.052499999,8958989.554690002,8815018.50739,362733.6801
2020-06,43016367.62058,23126073.58785,6926865.32281,9366074.3697,8954488.02335,361137.62067
2020-07,44434871.61566,23743241.87051,6482503.73941,9022724.79745,9070176.1309,369194.52078
2020-08,47240401.855969995,24018549.99494,6860270.2296899995,9377052.05831,9312774.73519,367707.06662999996
2020-09,49882368.82897,24240634.661280002,13416475.65703,9343840.50279,9295767.88311,364257.92854999995
2020-10,51925167.04306,24209355.926519997,12385063.87623,9247401.94602,9326839.255619999,360530.91502
2020-11,53254949.57831,24213381.23071,11455390.9913,9119767.434589999,9414592.42735,367758.38497
2020-12,52823920.96695,21935199.01553,10324255.81464,8548830.068020001,9622971.28411,361681.71893
2021-01,55021993.6456,21999581.49976,9860494.52461,8426863.89816,9880842.25761,357525.87981
2021-02,53693953.408300005,22037357.17957,9832410.71813,8207072.929629999,10049351.97157,357316.30823
2021-03,54197456.64798,22043650.58546,10334542.3163,8563086.739030002,10620187.528930001,363342.53927999997
2021-04,38537428.71885,22177702.69288,10539322.32571,8656173.13156,10686251.18105,363387.21693
2021-05,40792989.69045,22164863.064460002,10885828.13361,8724885.18279,10910728.765730001,357835.84416000004
2021-06,43731439.39273,21375800.07039,11058226.43531,8927305.57746,11075166.220859999,366579.85836
2021-07,48375471.94314,21485049.169630002,11226812.768690001,9293927.4236,11486822.70078,362919.85907999997
2021-08,50327534.78712,21571257.78528,11473045.56583,9504588.3486,11964124.024799999,362642.92016000004
2021-09,53318973.19423,21660022.05341,11682639.2733,9869030.450579999,12085042.72241,376087.52494
2021-10,55664015.02277,21547719.75522,11826743.01923,10718019.78406,12368724.2082,413432.6906
2021-11,58377898.120400004,22125158.20552,12023182.329920001,11322720.02002,12682896.20699,413488.70803
2021-12,66614524.99917,21869889.283830002,12447353.87898,11630900.83165,12905989.798279999,402101.91048
2022-01,67192252.81266,23030928.302789997,12212150.16374,11305343.293300001,13496911.799039999,407406.09431
2022-02,69828749.74488,22299713.77666,12429789.76602,11516405.901870001,13278001.51363,405093.78103
2022-03,41155938.95198,21762196.3008,10300302.52413,9907678.19298,13361172.477149999,398868.90159
2022-04,38092215.64494,19232897.25388,10301282.57817,8913154.68464,13227589.53436,401954.19759
2022-05,42800608.12716,17920356.858319998,10228366.41801,9383722.8445,13085941.775290001,389480.19678999996
2022-06,71463071.22568001,17407481.76661,10021946.72017,8293471.31651,10689370.85957,369310.67818000005
2022-07,76281171.59162,21138981.352440003,9219375.17996,7928533.805740001,9552214.886489999,356738.06281
2022-08,79512500.5423,23920992.0117,8018773.28813,8089730.12643,8182325.035879999,341254.54834
2022-09,52923330.507530004,24114011.7287,2963944.99576,6283146.10185,8677511.42657,316775.62373
2022-10,57419558.273219995,22668204.02051,2786232.0439400002,6356232.6975,8748435.10407,308127.88124
2022-11,56404044.853,23218708.33302,3488900.21596,6130320.501060001,7869935.57177,298792.1595
2022-12,57788818.96773,22164276.35855,2026078.09092,6916121.52987,6117030.740999999,238150.61926
2023-01,63234899.01346,24502994.34694,4571349.12034,7473591.8618,6645784.6596099995,259281.48758999998
2023-02,65048626.08497,24061371.4532,4431695.94108,7512597.94015,6761870.82515,309502.44652
2023-03,74351457.69421,24712542.91538,3050370.2921200003,8262468.73199,7292276.69192,298086.31457
2023-04,54783206.99476001,24267829.54771,5711387.59515,8885379.586380001,7494092.32336,260374.54953999998
2023-05,62032657.65224,24195896.022010002,5694404.79376,9912547.06494,7569861.60664,250889.9696
2023-06,69519230.13796999,28862404.09694,4954354.8768299995,10473308.87022,8306213.43568,240860.83636000002
2023-07,74404892.7853,30279134.893400002,5489384.14002,11177622.62654,11513382.51209,209440.1324
2023-08,79574310.34853,31564777.04564,6565048.98113,11240381.501629999,11616813.107649999,214129.39187
2023-09,83111300.27265,36206307.74256,6996280.1515999995,11237010.62758,11747909.913929999,207843.38926
2023-10,87785115.74313,36609636.20375,7586676.57234,12119600.413379999,12021996.61648,209151.67223
2023-11,96776085.68689,33658958.11044,8742194.929720001,13135521.22669,11772709.37967,238738.31991
2023-12,84844652.15323,28708868.4665,7206969.45983,11245651.38937,9289623.221600002,221724.92379
2024-01,89324833.30672,28277259.7639,10714002.310579998,11856560.869819999,11826953.75348,218174.16081
2024-02,92394970.48499,28512973.73009,9300353.22095,12612191.598879999,10625132.03029,218084.54837
2024-03,100447698.73478,33000380.29504,10236531.844490001,13778445.41789,10639729.4734,214084.03645
2024-04,73071359.27597,33473522.382310003,10645095.30094,14417685.77477,10948816.9275,209251.71458
2024-05,82270767.21901,35759861.48797,12332776.95042,15629636.13229,11297410.20296,205203.06932
