,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,1071900.00711,1169615.05232,307037.44629,319515.27294,707419.54157,17221.135270000002
2020-02,2203588.22477,1699660.3922599999,412745.23504,572344.40003,1509279.6845200001,22534.56955
2020-03,4058009.81114,2889897.3367399997,883112.5427700001,964020.31115,2680484.60988,30564.82951
2020-04,5828606.01419,3731675.85431,1359889.84544,1044115.7369400001,3267876.23899,42722.09871
2020-05,7248754.991570001,4458802.12593,2005520.07947,1481969.4395700002,4026126.27028,49518.053739999996
2020-06,16628765.80457,5323379.103850001,2678380.3544900003,1843058.9679100001,4878483.15814,65239.12570999999
2020-07,18060685.65146,6718547.95675,2883471.52255,2155484.3718000003,5653351.301419999,70726.70679
2020-08,19564631.57401,7712667.44173,3040484.45558,2615051.2883699997,6378503.717970001,86200.12623
2020-09,20990511.61057,8733578.447379999,3391569.0172200003,3025140.44409,7304915.79962,103187.17412
2020-10,22983432.46671,10085726.29541,4367944.99488,3416358.5540899998,8078771.9236200005,120241.18877
2020-11,24474614.16625,11301411.17207,5753188.13055,3841036.04637,8906048.53566,126566.67076
2020-12,29166417.50234,14399448.24627,7516953.19242,4779274.76086,9716378.977500001,147306.916
2021-01,1306460.8758899998,845107.96781,233749.2623,477120.61437,717058.8989200001,16532.33208
2021-02,2690209.03063,1340864.87433,349010.98991999996,951145.95922,1336934.85762,32379.70356
2021-03,3945600.4251099997,2462915.1786399996,737324.6944500001,1448860.65093,2089608.61631,43261.21217
2021-04,5668570.19339,3762383.07124,2419659.35584,1935200.30714,2880440.0669400003,58280.06609
2021-05,7333497.48291,4841349.71187,2494814.38523,2446363.24663,3606292.61639,79161.18824
2021-06,8922952.66086,6035550.12532,2692944.81305,2737070.89363,4372977.02876,85379.66398
2021-07,10615284.71655,7578147.3677900005,3015908.66921,3015635.2787300004,5025370.4283,104987.48126
2021-08,12095294.70744,8721654.07213,3366341.10211,3280282.01549,5636141.01628,119287.20989
2021-09,13404998.909780001,9530365.12256,3726329.78362,3418285.85957,6529369.84387,119341.47223
2021-10,15172889.430569999,10451130.929709999,3765368.10111,3074341.84988,7247588.277009999,92655.68286
2021-11,16959823.40257,11847364.626950001,4069918.08213,2804424.0030699996,8198013.50141,104486.13857
2021-12,15870433.72682,14514144.316510001,4267444.41944,3224115.67045,9341677.03042,122764.40281000001
2022-01,1393628.4817000001,1164379.96111,54848.16443,548978.52918,812872.75271,12720.35161
2022-02,3613787.52674,3049037.40199,555475.2616900001,1251649.52397,2095321.7932399998,23548.0886
2022-03,7145965.686749999,5468932.30987,2878617.0834999997,3356448.42476,3189799.78139,37324.34897
2022-04,11157826.1784,8734108.19272,3150953.44181,4825286.767960001,4417537.249539999,41957.65058
2022-05,12748597.770480001,11118948.7027,4035366.2851899997,5159587.2381,6027407.12295,62406.50729
2022-06,18450609.96623,12704122.105570002,6741064.00964,7077683.35109,9528459.1832,79944.11419
2022-07,21357445.77076,16741237.78846,8406507.10409,8052133.84761,12425453.73966,92713.79301000001
2022-08,30893460.50141,18405458.93005,9608691.17304,8434130.4727,14596841.45826,108370.49078
2022-09,33213265.591720004,20698840.24745,13300703.17593,8962558.962229999,14860422.31966,132952.5433
2022-10,36065377.5968,22717691.27188,13872417.81019,9915471.16551,16476295.85826,140917.15185999998
2022-11,37965011.42609,24054758.47682,14060823.583010001,10627809.66723,18243748.6207,149396.35354
2022-12,38561286.13331,26838343.06698,14831736.522130001,11517719.00128,20821707.44075,211650.23052
2023-01,2019028.9795300001,779220.20952,-30837.88463,395892.73656,520200.67285000003,4826.295370000001
2023-02,3673089.5301800002,1572300.68733,183927.1665,701615.8225499999,1192478.872,-46328.112689999994
2023-03,5682609.0987,2854325.0215899996,433400.87679,410662.09157,1658585.0677200002,-35916.03609
2023-04,7561059.52806,3974916.1602600003,493921.82817000005,704522.3949,2300513.98168,-26889.28697
2023-05,10189447.07744,4941523.596209999,616828.30786,1055273.8755400002,2870210.96939,-18980.74684
2023-06,11920732.95709,5720008.226910001,736600.2559400001,1257666.9017100001,2620588.31684,-10475.672559999999
2023-07,13711086.39506,7203875.943910001,754355.27626,1767110.14762,3126620.2089,22350.48514
2023-08,15633311.31634,8428062.234499998,996271.78793,2905386.9881300004,3818618.8985099997,20703.71184
2023-09,17300735.5771,9359458.20658,1226029.95845,3159670.84777,4461333.92875,30232.38834
2023-10,19483003.87629,10730588.623300001,1601453.3730799998,3523841.37333,5283855.3716400005,33110.951290000005
2023-11,21612774.41421,11898105.65702,1813442.06721,3705567.29669,6704898.5762,14359.57387
2023-12,28872272.9895,14145584.23667,2193679.27733,4552369.713830001,9262041.86265,25574.40526
2024-01,2326236.94068,783487.9083,-100606.33773000001,43542.264,446418.47066000005,7977.6403199999995
2024-02,6025218.312969999,2116586.81744,-153745.90058000002,416418.45286,1277333.8764499999,12837.30219
2024-03,6698827.61309,3681049.5127999997,-155447.74355,874213.64228,1370917.52968,20753.2162
2024-04,9027156.88226,4781665.87474,177935.53935,1160677.2733099998,1964327.61291,29303.18128
2024-05,10861616.87864,6069578.88526,-164625.43105,1722165.11677,2623982.34159,37453.74408
