,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,4847661.191219999,1772921.54454,150707.07553,453705.9832,911317.1484,14475.69258
2020-02,12362390.94131,2785075.4966200003,773034.9800499999,866603.1818,1810988.00948,27220.82112
2020-03,14487437.865510002,5518326.49249,-1191060.27357,1409406.6218400002,2988183.76713,38503.91525
2020-04,23114008.40503,7025220.88968,-298902.66788,1536317.68376,3600503.56012,49587.08366
2020-05,26865948.59424,8022551.91434,427757.46142,2022083.22755,4409967.6830400005,62988.98004
2020-06,30666135.09105,8916479.99963,761084.45896,2396195.5181899997,5355397.77419,77143.375
2020-07,34262467.44879,11034946.056389999,639787.18901,2825435.2892,6254786.63524,91710.56018999999
2020-08,37955710.75807,12148556.65259,1158004.06999,3415462.57133,7166380.90664,105696.52548000001
2020-09,42265348.0689,13470129.960099999,1145321.7280599999,3846185.69264,8133243.55588,119234.43529
2020-10,45830939.63836,14884229.05943,1194901.7339899999,4280837.23796,8951556.73502,132934.30741
2020-11,49501234.37431,16147655.328459999,1987551.29016,4745535.09443,9875930.94396,146487.25934999998
2020-12,53463078.35796,17131826.32847,2188814.5403,5290778.7131900005,10893122.77955,161467.38607
2021-01,2841694.19327,983688.17319,336158.73881,557735.5564,903042.25006,12805.58279
2021-02,3999809.15818,1543042.92171,550890.88352,1129397.04765,1761089.0409900001,28443.38269
2021-03,6330421.7746,2715062.17832,1062228.36026,1758753.63079,3063328.4434,44922.03252
2021-04,11714621.197959999,4151388.37256,2999977.87495,2374611.8169400003,3992419.0957400003,60220.44448
2021-05,16024234.75977,5304462.34856,3389687.5225099996,3005793.74148,4883860.53308,75550.19386
2021-06,20552161.64838,6547975.557519999,3815890.38627,3653869.1352,5835019.06748,90512.6838
2021-07,27031911.44345,8183880.50069,4384907.744039999,4340928.022799999,6893848.32794,106460.5018
2021-08,30615202.682669997,9470564.507819999,5014174.0411,5010958.85757,7965171.35306,121166.70250999999
2021-09,34634261.47342,10379157.451439999,5476268.94482,5640522.30913,8986893.556330001,134665.56962999998
2021-10,38991075.24629,11228006.28845,5817500.18314,6340282.30793,9990481.08274,146324.94592
2021-11,43310910.504250005,13220285.07212,6324619.32456,7159230.15136,11276950.33901,159315.56506000002
2021-12,50937542.13494,15567435.11939,6995861.60144,7909478.0489300005,12667675.4398,171257.66839
2022-01,3455524.62621,2290680.33188,184913.51377000002,664727.09885,1454101.49015,15365.56066
2022-02,8647251.07503,3491972.9794099997,803129.57609,1367401.86472,2794337.9903700002,26539.959150000002
2022-03,11031868.88032,5712396.97771,859327.92321,1947331.87687,3910536.10433,34091.34008
2022-04,11943523.072579999,6452408.83054,1124991.60874,2495403.78362,4830837.4680699995,41809.93769
2022-05,18984368.89129,7536289.9017199995,1939384.42911,3259540.56123,6057526.61936,49784.7936
2022-06,25510589.33911,8660906.235779999,4204546.6563,3874718.4893,7162280.48482,47152.881890000004
2022-07,34309370.51397,16237437.33461,5103206.646190001,4507463.9376300005,8888396.840060001,47349.94534
2022-08,47759437.71486,20746440.77542,5202771.474049999,5032496.64745,9696023.082600001,47523.12864
2022-09,49666707.48211,23410956.32142,5394577.78841,5600383.02624,10534000.710070001,47626.25655
2022-10,57299493.403859995,23805962.84037,5494043.36403,6259416.13136,12246103.57127,46943.122619999995
2022-11,65432480.73399,25635458.9128,6373092.66007,6870317.35585,13161965.58839,46086.60256
2022-12,73233271.5512,27476110.27679,6855946.8356,7518579.94355,13913103.650220001,45342.70701
2023-01,9720683.24433,3021442.79706,592186.34562,630211.02592,1201441.55873,-1371.86345
2023-02,14318376.77936,3417990.9527499997,602149.4503799999,1190440.0983999998,1998914.99933,-2305.31258
2023-03,25638406.49568,5395979.33792,1415043.47665,1824662.5935300002,2855166.35964,-3309.36793
2023-04,33316570.856519997,6045225.67871,1737658.813,2493721.11563,3629767.8111300003,-4665.3566900000005
2023-05,41551147.048829995,7172630.15436,2153039.03463,3220645.65958,4263127.767990001,-6241.3965
2023-06,48605783.30698001,12558180.35608,2712522.32122,3972509.15961,4761027.35509,-7765.45546
2023-07,56005049.338470004,15440034.31281,3080492.47973,4771765.4896599995,8485217.45666,-6360.001719999999
2023-08,63795295.264469996,18231848.676969998,4069490.79713,5644229.72691,9257858.94389,-3317.51555
2023-09,69992216.42736001,23855026.4074,4821103.71889,6525824.107849999,10046751.242970001,-74.84166
2023-10,77554644.99571,25632391.25223,5733297.036130001,7426187.04264,11028583.947929999,4112.00426
2023-11,88653361.27381,25170198.786820002,6738894.90919,8326555.64397,11938665.54921,14947.27452
2023-12,101637532.08108,23400458.02264,7943334.77451,9213271.58262,12853694.701730002,19860.9537
2024-01,10151843.24227,2339752.23698,960619.32944,983459.25932,927369.8088400001,4426.87734
2024-02,16306212.90847,4581108.7299500005,1529507.47052,1867190.3842900002,1758359.32064,9196.92677
2024-03,25391555.2684,8537115.05521,2319023.00064,2774582.93794,2700926.25634,13112.32886
2024-04,32380164.86825,11253889.14666,3046286.74624,3738292.15841,3557902.02516,16829.97207
2024-05,42863602.643910006,14815833.288660001,4005092.44689,4790494.01788,4473372.023449999,20931.88961
