,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,4847661.191219999,1772921.54454,150707.07553,453705.9832,911317.1484,14475.69258
2020-02,7514729.75009,1012153.9520800004,622327.9045199999,412897.1986,899670.8610800001,12745.12854
2020-03,2125046.924200002,2733250.9958699998,-1964095.2536199999,542803.4400400001,1177195.75765,11283.094129999998
2020-04,8626570.53952,1506894.39719,892157.6056899999,126911.06191999977,612319.79299,11083.168409999998
2020-05,3751940.1892099977,997331.0246599996,726660.1293,485765.54379,809464.1229200005,13401.896380000006
2020-06,3800186.4968100004,893928.0852900008,333326.99753999995,374112.2906399998,945430.0911499998,14154.394959999998
2020-07,3596332.35774,2118466.05676,-121297.26994999999,429239.77101000026,899388.8610499995,14567.185190000004
2020-08,3693243.3092800006,1113610.5961999986,518216.88098,590027.2821300002,911594.2714,13985.965289999993
2020-09,4309637.310829997,1321573.3075100016,-12682.341929999879,430723.12130999984,966862.6492400002,13537.909809999997
2020-10,3565591.5694600046,1414099.0993299987,49580.005929999985,434651.54531999957,818313.1791400006,13699.872120000015
2020-11,3670294.7359500006,1263426.269030001,792649.55617,464697.85647,924374.2089399993,13552.95193999997
2020-12,3961843.983649999,984171.0000099987,201263.2501399999,545243.6187600009,1017191.8355899993,14980.12672000003
2021-01,2841694.19327,983688.17319,336158.73881,557735.5564,903042.25006,12805.58279
2021-02,1158114.9649099996,559354.7485199999,214732.14471000002,571661.4912500001,858046.7909299999,15637.799899999998
2021-03,2330612.6164200003,1172019.25661,511337.47673999995,629356.58314,1302239.4024100003,16478.649830000002
2021-04,5384199.42336,1436326.19424,1937749.51469,615858.1861500002,929090.6523399996,15298.411959999998
2021-05,4309613.56181,1153073.9759999998,389709.6475599995,631181.9245399996,891441.4373400006,15329.749380000001
2021-06,4527926.88861,1243513.2089599995,426202.86376000056,648075.39372,951158.5343999993,14962.48994
2021-07,6479749.79507,1635904.9431700008,569017.3577699992,687058.8875999996,1058829.2604600005,15947.818
2021-08,3583291.239219997,1286684.0071300007,629266.2970600007,670030.8347700005,1071323.0251199994,14706.200710000005
2021-09,4019058.7907500044,908592.94362,462094.9037199998,629563.45156,1021722.2032700013,13498.86711999998
2021-10,4356813.772869997,848848.8370099999,341231.23832000047,699759.9988000002,1003587.5264099985,11659.376290000015
2021-11,4319835.257960007,1992278.7836699989,507119.1414199993,818947.8434299994,1286469.2562700007,12990.619140000024
2021-12,7626631.6306899935,2347150.04727,671242.2768800007,750247.89757,1390725.1007899996,11942.103329999984
2022-01,3455524.62621,2290680.33188,184913.51377,664727.09885,1454101.49015,15365.56066
2022-02,5191726.4488200005,1201292.6475299997,618216.06232,702674.76587,1340236.5002199998,11174.39849
2022-03,2384617.8052899987,2220423.9983000006,56198.34712000005,579930.0121500001,1116198.1139600002,7551.380930000003
2022-04,911654.1922600009,740011.8528300002,265663.68553,548071.9067499998,920301.3637399995,7718.597609999997
2022-05,7040845.818710001,1083881.07118,814392.8203699999,764136.7776100002,1226689.1512900004,7974.855909999998
2022-06,6526220.447819997,1124616.3340599984,2265162.22719,615177.9280699999,1104753.86546,-2631.9117100000003
2022-07,8798781.174860004,7576531.098830001,898659.9898900008,632745.4483300005,1726116.3552400013,197.06345000000147
2022-08,13450067.200889997,4509003.440809999,99564.82785999868,525032.7098199995,807626.2425399981,173.18330000000424
2022-09,1907269.7672500014,2664515.546,191806.3143600002,567886.3787899995,837977.6274699997,103.12790999999561
2022-10,7632785.921749994,395006.5189500004,99465.57562000025,659033.1051200004,1712102.861200001,-683.1339300000036
2022-11,8132987.330130003,1829496.0724299997,879049.2960400004,610901.2244899999,915862.01712,-856.5200599999953
2022-12,7800790.817210004,1840651.3639900014,482854.17552999966,648262.5877,751138.0618299991,-743.8955500000011
2023-01,9720683.24433,3021442.79706,592186.34562,630211.02592,1201441.55873,-1371.86345
2023-02,4597693.53503,396548.1556899999,9963.1047599999,560229.0724799997,797473.4406000001,-933.4491299999997
2023-03,11320029.71632,1977988.3851700001,812894.0262700001,634222.4951300002,856251.3603099999,-1004.0553500000001
2023-04,7678164.3608399965,649246.3407899998,322615.33635,669058.5221,774601.4514899999,-1355.9887600000006
2023-05,8234576.192309998,1127404.4756500004,415380.22163000004,726924.5439500003,633359.9568600007,-1576.0398099999993
2023-06,7054636.258150011,5385550.201719999,559483.2865899997,751863.5000299998,497899.5870999992,-1524.0589600000003
2023-07,7399266.031489991,2881853.9567300007,367970.15851,799256.3300499995,3724190.101570001,1405.4537400000008
2023-08,7790245.9260000065,2791814.3641600013,988998.3174,872464.2372500002,772641.4872299992,3042.486169999999
2023-09,6196921.16289001,5623177.7304299995,751612.9217600003,881594.3809399996,788892.2990799993,3242.67389
2023-10,7562428.568349987,1777364.844829999,912193.3172400007,900362.9347900003,981832.7049600016,4186.84592
2023-11,11098716.278099999,-462192.4654100016,1005597.8730599992,900368.60133,910081.6012800001,10835.270260000001
2023-12,12984170.807270005,-1769740.7641799971,1204439.8653199999,886715.9386500008,915029.1525200009,4913.679179999997
2024-01,10151843.24227,2339752.23698,960619.32944,983459.25932,927369.80884,4426.87734
2024-02,6154369.666199999,2241356.4929700005,568888.14108,883731.12497,830989.5118000001,4770.04943
2024-03,9085342.35993,3956006.3252599994,789515.5301200002,907392.5536500001,942566.9356999998,3915.4020899999996
2024-04,6988609.599850003,2716774.09145,727263.7455999996,963709.2204700001,856975.7688200003,3717.64321
2024-05,10483437.775660004,3561944.141999999,958805.70065,1052201.85947,915469.9982899991,4101.917539999999
