,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-02,555361374.54915,334445381.63472,207603127.07540998,138423098.64013,89918224.04138,1591833.76927
2020-03,560700425.18351,313457973.19079,205152041.75574002,148285071.24385,89810827.5767,1479214.3932200002
2020-04,572099553.99411,314429347.87083,217523691.07313,140626317.17256,99273835.81139,1710349.44336
2020-05,580817281.71742,310394753.83647,216163647.50566003,148588647.82445,93485715.62047,1623093.7266199999
2020-06,590589958.4092,310783639.17161,220707991.61582,156433838.18212,94113244.53354,1799431.61886
2020-07,576387664.35504,272170777.17387,226728764.12284002,156672936.18175998,98194375.08623,2154690.35782
2020-08,585208192.92047,275812938.14492,239045390.93567,163125636.54148003,101379457.98792,1734906.56612
2020-09,591896422.06266,271680581.9245,235375067.47681996,161797772.88436,100488850.70116,1599246.78339
2020-10,600145190.2381,266290179.86523,226634076.38952997,165551760.53872,101640098.57208,1692469.9982
2020-11,572448056.7411201,271908630.5189,237277673.88292,167751759.91101003,99492354.45712,1680498.09036
2020-12,556545773.89808,268398897.67600003,242387014.14611998,160382295.63724,102980161.64195,1639161.73604
2021-01,566179319.9185001,268759302.6474,245631706.31079,151660867.7549,112494706.04028,1847490.2935600001
2021-02,560261598.85777,278543325.81922,236828268.27005,150670459.04825,111511057.32084,2015827.72445
2021-03,561062326.9796299,279701845.27692,237061363.26593998,149523513.93891,109940523.73769,2250164.9794599996
2021-04,554920282.5585899,288524033.62071,241407734.99343,139650565.56982,110644208.19925,2642919.6009400003
2021-05,557603741.87708,290753315.76309,243702562.98816,144004136.20602,111653201.08914,3213996.20737
2021-06,550580707.3690901,290783132.45919,252354001.09129,133465824.75363998,115229464.52977,3298153.77374
2021-07,548750291.16003,276441936.74131,246810242.85902998,134720201.63489,115596671.67419,3400248.34056
2021-08,548026291.8194,272615869.87454003,237028706.43438998,128559120.20072,118495463.75621,3547036.88563
2021-09,548487622.1473299,254538577.87985,241973055.1088,124417278.70396999,117096908.40007001,3598647.86638
2021-10,550327570.4034599,247440962.40225,233011662.53839996,121190175.25804,115433763.62854001,3697980.95822
2021-11,552367718.88722,239328624.06456003,228108873.3968,127272216.09222999,117112428.28707,3584030.8756000004
2021-12,559268905.07666,241213056.92993,208405510.79671,128834085.983,120753373.31776999,3387985.99479
2022-01,582851091.40566,249937975.30984,210062742.72085,130263425.71775,125348950.20193,3264289.31318
2022-02,565071463.89378,241853335.70422003,206674336.49710003,128209465.62209001,127940810.42412,3250794.15744
2022-03,571577556.2053499,248003177.80701002,214807573.81099,120825949.76647,123773599.4918,3608494.0196899995
2022-04,582213774.1277499,250224048.60759,208758746.77889997,123605176.03055999,114757360.94824001,3017417.1216100003
2022-05,592380163.18483,263697832.11918,206942177.66856,128291308.2651,112566519.61548,2649241.1694900002
2022-06,606634946.36693,257059880.72918,208857431.93838,129520506.1006,107350523.00429001,1617928.5222999998
2022-07,656975376.13299,246263858.61041,228608405.51357,139671405.65346,104026469.83728,1564452.59558
2022-08,693177058.2729101,259992709.09364,260293031.47814998,155364190.81715,112666536.34001,1434745.48213
2022-09,708127678.51092,268216694.80777997,229065329.63784,154782988.89049,111156517.80716,1439029.77909
2022-10,688103235.90882,268697567.43729997,245996236.73434997,160010063.2759,104559924.61227,1453147.13579
2022-11,706142178.75302,270806504.3327,267423050.11299002,155456514.48958,96066305.15031,1210697.32376
2022-12,710086414.31086,282828210.61815995,252191770.75473,150030242.16,95493134.65873998,1184301.39516
2023-01,737413903.9701298,298158416.9177,256500983.59949,146351167.56440002,96063275.70045,1179639.71492
2023-02,731936384.15603,301562537.82942003,271961007.77360004,144123879.43084997,95000426.44226001,1168854.07886
2023-03,740266026.4433,311188457.10998,273653286.16257,149044279.63184002,96877283.81314999,1106143.6501999998
2023-04,747828774.4273,306305522.99104,269517252.62737995,161091141.80341002,97653529.63283001,1081783.8870400002
2023-05,759311422.64436,311898177.67059,275462519.78698003,164381770.50481,97191989.46095,1048714.02795
2023-06,742433484.06888,313652628.93174,274045567.20987004,171285577.64812,96637567.42859,954928.853
2023-07,761943462.32789,324741437.87735003,279111515.78002,167972294.07729,96615246.98116,920728.5981899999
2023-08,777563028.1255399,335579158.44024,281057574.57478,172854258.75215,95782388.45052,511921.98436999996
2023-09,782315567.6145099,337985587.86592007,269629732.51203,168602608.45902997,103395282.04577,502018.44932
2023-10,798779234.44881,343000055.84053,263458512.56099,166436062.03035998,107971270.56714,481716.83957999997
2023-11,804145626.7891301,346855449.15183,255011438.09945002,172240288.53358,115572839.22047,485214.52368000004
2023-12,833028582.93969,349829538.20150995,255240526.23904002,180855841.59097,123662238.16131,465734.09282
2024-01,879800101.8724,371879595.51443,284438219.30204,190337079.94500998,131197459.46806,502307.95115
2024-02,862636105.1868,369564190.026,274647457.43218994,189991193.9953,131899447.70109001,433928.75735
2024-03,848643343.37598,376361059.12974,280032382.08674,184450775.73683998,131636610.20716,449277.46079000004
2024-04,867463558.22315,398234028.97017,290603294.10373,186862949.76284,136634659.15929,446586.31993
2024-05,857004839.3066301,403616790.89760995,290420787.38117003,190846997.85746998,134630376.77909,458021.8895
2024-06,872402422.47488,415818973.63196,293901751.84905,200329978.68782,138245511.83432,430638.82672
